id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;ai_guess;groundtruth;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
631701.0;30/09/2024;segunda-feira;18:00:00;RJ;493;55;DUQUE DE CAXIAS;Acumulo de areia ou detritos sobre o pavimento;Not Human Causes;Not Human Causes;Colisão com objeto;Sem Vítimas;Anoitecer;Crescente;Nublado;Simples;Reta;Sim;3;0;0;0;3;0;0;1;-22.672.089;-43.285.053;SPRF-RJ;DEL01-RJ;UOP03-DEL01-RJ
669765.0;26/03/2025;quarta-feira;18:00:00;MG;116;658,8;SAO FRANCISCO DO GLORIA;Acumulo de areia ou detritos sobre o pavimento;Not Human Causes;Not Human Causes;Colisão traseira;Com Vítimas Feridas;Anoitecer;Decrescente;Chuva;Simples;Reta;Não;5;0;1;0;4;0;1;2;-20,78933788;-42,29950905;SPRF-MG;DEL07-MG;UOP02-DEL07-MG
589642.0;25/03/2024;segunda-feira;11:35:00;SP;153;256,2;MARILIA;Acumulo de óleo sobre o pavimento;Not Human Causes;Not Human Causes;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Dupla;Rotatória;Sim;2;0;2;0;0;0;2;1;-222.381.209;-4.991.899.967;SPRF-SP;DEL07-SP;UOP02-DEL07-SP
499640.0;16/01/2023;segunda-feira;22:25:00;BA;110;7;PAULO AFONSO;Animais na Pista;Not Human Causes;Not Human Causes;Atropelamento de Animal;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Aclive;Não;6;0;0;6;0;0;6;1;-9,51447403;-38,21809076;SPRF-BA;DEL07-BA;UOP01-DEL07-BA
522397.0;11/05/2023;quinta-feira;17:00:00;SP;381;30,4;ATIBAIA;Animais na Pista;Not Human Causes;Not Human Causes;Engavetamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Reta;Declive";Não;4;0;1;0;3;0;1;4;-23,04885102;-46,56482797;SPRF-SP;DEL03-SP;UOP02-DEL03-SP
582552.0;22/02/2024;quinta-feira;07:35:00;SP;381;29;ATIBAIA;Animais na Pista;Not Human Causes;Not Human Causes;Atropelamento de Animal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Sim;2;0;1;0;1;0;1;1;-2.304.177.622;-4.655.896.672;SPRF-SP;DEL03-SP;UOP02-DEL03-SP
340381.0;13/02/2021;sábado;06:30:00;MG;262;356;BETIM;Ausência de reação do condutor;Other Human Causes;Other Human Causes;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Rotatória;Não;2;0;1;0;1;0;1;2;-19,98016509;-44,21374798;SPRF-MG;DEL01-MG;UOP03-DEL01-MG
667778.0;17/03/2025;segunda-feira;07:14:00;TO;153;497,7;PARAISO DO TOCANTINS;Ausência de reação do condutor;Other Human Causes;Other Human Causes;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;"Reta;Interseção de Vias";Sim;2;0;1;0;1;0;1;2;-10,181411;-48,880591;SPRF-TO;DEL01-TO;UOP01-DEL01-TO
667234.0;14/03/2025;sexta-feira;16:25:00;RS;116;624,4;ARROIO GRANDE;Ausência de reação do condutor;Other Human Causes;Other Human Causes;Saída de leito carroçável;Com Vítimas Fatais;Pleno dia;Decrescente;Céu Claro;Simples;"Reta;Declive";Não;2;1;0;0;0;1;0;2;-32,338727;-53,157026;SPRF-RS;DEL07-RS;UOP03-DEL07-RS
573491.0;10/11/2023;sexta-feira;16:30:00;RJ;101;297;ITABORAI;Ausência de reação do condutor;Other Human Causes;Other Human Causes;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;5;0;1;0;4;0;1;4;-22,76942037;-42,91873581;SPRF-RJ;DEL02-RJ;UOP02-DEL02-RJ
360387.0;28/05/2021;sexta-feira;07:10:00;PR;277;84;CURITIBA;Ausência de reação do condutor;Other Human Causes;Other Human Causes;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;2;0;0;2;0;0;2;2;-25,568939;-49,181978;SPRF-PR;DEL01-PR;UOP01-DEL01-PR
409739.0;18/01/2022;terça-feira;17:37:00;PE;101;96;CABO DE SANTO AGOSTINHO;Ausência de reação do condutor;Other Human Causes;Other Human Causes;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Crescente;Nublado;Simples;Reta;Sim;4;0;2;0;1;1;2;2;-8,25146993;-35,021805;SPRF-PE;DEL01-PE;UOP01-DEL01-PE
456279.0;16/06/2022;quinta-feira;10:00:00;PR;272;564;GUAIRA;Ausência de reação do condutor;Other Human Causes;Other Human Causes;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Rotatória;Não;2;0;1;0;0;2;1;3;-24,08890218;-54,1897149;SPRF-PR;DEL06-PR;UOP01-DEL06-PR
662179.0;18/02/2025;terça-feira;12:10:00;MT;163;871;SINOP;Ausência de reação do condutor;Other Human Causes;Other Human Causes;Engavetamento;Com Vítimas Fatais;Pleno dia;Crescente;Céu Claro;Simples;"Aclive;Reta";Não;5;1;0;0;3;4;0;7;-11,552788;-55,400653;SPRF-MT;DEL06-MT;UOP02-DEL06-MT
398084.0;26/11/2021;sexta-feira;19:10:00;SP;381;52;ATIBAIA;Ausência de reação do condutor;Other Human Causes;Other Human Causes;Engavetamento;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;"Reta;Declive";Sim;8;0;1;0;6;1;1;7;-23,2300622;-46,59963076;SPRF-SP;DEL03-SP;UOP01-DEL03-SP
540381.0;05/08/2023;sábado;11:35:00;RJ;116;309;RESENDE;Avarias e/ou desgaste excessivo no pneu;Other;Other Human Causes;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Aclive;Não;2;0;0;1;1;0;1;1;-22,45852838;-44,42672997;SPRF-RJ;DEL07-RJ;UOP02-DEL07-RJ
642957.0;19/11/2024;terça-feira;18:30:00;PE;428;180,5;PETROLINA;Carga excessiva e/ou mal acondicionada;Other Human Causes;Other Human Causes;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;3;0;1;1;0;1;2;3;-93.001.832;-4.044.980.961;SPRF-PE;DEL06-PE;UOP01-DEL06-PE
629589.0;21/09/2024;sábado;09:08:00;RO;174;14;VILHENA;Carga excessiva e/ou mal acondicionada;Other Human Causes;Other Human Causes;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;1;0;1;2;-1.273.306.632;-6.012.981.255;SPRF-RO;DEL04-RO;UOP01-DEL04-RO
484081.0;31/10/2022;segunda-feira;08:30:00;MG;381;921,4;CAMANDUCAIA;Chuva;Not Human Causes;Not Human Causes;Capotamento;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;"Curva;Declive";Não;4;0;4;0;0;0;4;1;-22,7680939;-46,20854399;SPRF-MG;DEL16-MG;UOP03-DEL16-MG
666253.0;09/03/2025;domingo;19:40:00;SC;101;371;ICARA;Chuva;Not Human Causes;Not Human Causes;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Não;1;0;1;0;0;0;1;1;-28,75411551;-49,2760849;SPRF-SC;DEL02-SC;UOP01-DEL02-SC
552329.0;02/10/2023;segunda-feira;06:25:00;SE;235;4,8;NOSSA SENHORA DO SOCORRO;Condutor deixou de manter distância do veículo da frente;Other Human Causes;Other Human Causes;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Reta;Declive";Sim;4;0;1;0;2;1;1;2;-10,9064;-37,1197;SPRF-SE;DEL01-SE;UOP01-DEL01-SE
376908.0;13/08/2021;sexta-feira;18:55:00;MS;163;491,1;CAMPO GRANDE;Condutor deixou de manter distância do veículo da frente;Other Human Causes;Other Human Causes;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;2;0;1;0;1;0;1;2;-20,36434577;-54,52853585;SPRF-MS;DEL01-MS;UOP02-DEL01-MS
693195.0;23/05/2025;sexta-feira;15:20:00;CE;222;2,5;FORTALEZA;Condutor deixou de manter distância do veículo da frente;Other Human Causes;Other Human Causes;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Múltipla;Reta;Sim;3;0;2;0;1;0;2;2;-3,73974704;-38,59261958;SPRF-CE;DEL01-CE;UOP01-DEL01-CE
572181.0;02/01/2024;terça-feira;16:15:00;SC;101;48,4;JOINVILLE;Condutor deixou de manter distância do veículo da frente;Other Human Causes;Other Human Causes;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Curva;Não;3;0;2;0;1;0;2;2;-2.637.832.466;-48.851.915;SPRF-SC;DEL03-SC;UOP01-DEL03-SC
383372.0;20/08/2021;sexta-feira;09:30:00;ES;101;260,5;SERRA;Condutor deixou de manter distância do veículo da frente;Other Human Causes;Other Human Causes;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Curva;Sim;5;0;1;0;3;1;1;4;-20,14616415;-40,28836206;SPRF-ES;DEL02-ES;UOP01-DEL02-ES
550874.0;25/09/2023;segunda-feira;10:00:00;BA;101;142,8;TEODORO SAMPAIO;Condutor Dormindo;Other Human Causes;Other Human Causes;Colisão lateral sentido oposto;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;5;0;3;1;1;0;4;2;-12,28566684;-38,70373609;SPRF-BA;DEL01-BA;UOP04-DEL01-BA
600061.0;12/05/2024;domingo;17:30:00;SP;116;380;MIRACATU;Condutor Dormindo;Other Human Causes;Other Human Causes;Saída de leito carroçável;Com Vítimas Feridas;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;3;0;1;0;1;1;1;2;-2.421.753.686;-4.736.651.776;SPRF-SP;DEL04-SP;UOP02-DEL04-SP
346205.0;14/03/2021;domingo;14:20:00;RJ;493;73;NOVA IGUACU;Condutor Dormindo;Other Human Causes;Other Human Causes;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Não;2;0;2;0;0;0;2;1;-22,687349;-43,508397;SPRF-RJ;DEL01-RJ;UOP03-DEL01-RJ
417196.0;25/02/2022;sexta-feira;19:15:00;RJ;493;101;SEROPEDICA;Condutor Dormindo;Other Human Causes;Other Human Causes;Colisão transversal;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Não;2;0;0;1;1;0;1;2;-22,78043356;-43,69398683;SPRF-RJ;DEL03-RJ;UOP01-DEL03-RJ
353500.0;23/04/2021;sexta-feira;16:45:00;SP;116;277;EMBU DAS ARTES;Condutor usando celular;Other Human Causes;Other Human Causes;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;3;0;0;1;2;0;1;3;-23,64870535;-46,84395469;SPRF-SP;DEL04-SP;UOP01-DEL04-SP
443750.0;14/04/2022;quinta-feira;14:10:00;PB;230;445,7;APARECIDA;Conversão proibida;Other Human Causes;Other Human Causes;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;2;0;1;0;1;0;1;2;-6,786114;-38,084497;SPRF-PB;DEL03-PB;UOP03-DEL03-PB
468278.0;09/09/2021;quinta-feira;22:20:00;PR;476;145;CURITIBA;Curva acentuada;Not Human Causes;Other;Colisão frontal;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Retorno Regulamentado;Não;2;0;0;1;1;0;1;2;-25,547749;-49,32095;SPRF-PR;DEL01-PR;UOP03-DEL01-PR
368417.0;05/07/2021;segunda-feira;02:00:00;PE;232;105;BEZERROS;Curva acentuada;Not Human Causes;Other;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Dupla;Curva;Não;1;0;0;1;0;0;1;1;-8,25830415;-35,78275595;SPRF-PE;DEL02-PE;UOP02-DEL02PE
360984.0;30/05/2021;domingo;14:50:00;RJ;354;18;RESENDE;Curva acentuada;Not Human Causes;Other;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;"Aclive;Curva";Não;1;0;1;0;0;0;1;1;-22,465595;-44,716988;SPRF-RJ;DEL07-RJ;UOP02-DEL07-RJ
538870.0;29/07/2023;sábado;05:00:00;GO;452;147,6;BOM JESUS DE GOIAS;Deficiência do Sistema de Iluminação/Sinalização;Not Human Causes;Not Human Causes;Colisão traseira;Com Vítimas Feridas;Amanhecer;Decrescente;Céu Claro;Simples;Reta;Não;3;0;1;0;1;1;1;3;-18,28706779;-49,60856091;SPRF-GO;DEL03-GO;UOP02-DEL03-GO
646214.0;05/12/2024;quinta-feira;05:00:00;MT;364;348;SANTO ANTONIO DO LEVERGER;Demais falhas mecânicas ou elétricas;Other;Other;Colisão traseira;Com Vítimas Feridas;Amanhecer;Crescente;Céu Claro;Dupla;"Declive;Reta";Não;4;0;0;1;2;1;1;3;-1.580.416.834;-5.555.429.598;SPRF-MT;DEL05-MT;UOP02-DEL05-MT
401467.0;13/12/2021;segunda-feira;07:45:00;PR;277;129;BALSA NOVA;Demais falhas mecânicas ou elétricas;Not Human Causes;Other;Eventos atípicos;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;"Aclive;Reta";Não;2;0;0;1;0;1;1;2;-25,45677838;-49,63824213;SPRF-PR;DEL01-PR;UOP03-DEL03-PR
349971.0;04/04/2021;domingo;21:00:00;PE;104;84,9;AGRESTINA;Demais falhas mecânicas ou elétricas;Not Human Causes;Other;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Simples;Reta;Não;1;0;0;1;0;0;1;1;-8,430662;-35,959164;SPRF-PE;DEL02-PE;UOP01-DEL02-PE
374082.0;31/07/2021;sábado;19:00:00;PR;277;37,9;MORRETES;Demais falhas mecânicas ou elétricas;Not Human Causes;Other;Incêndio;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Dupla;Curva;Não;1;0;0;0;1;0;0;1;-25,56011566;-48,81439895;SPRF-PR;DEL01-PR;UOP05-DEL01-PR
496673.0;01/01/2023;domingo;18:10:00;PR;116;152;MANDIRITUBA;Desrespeitar a preferência no cruzamento;Other Human Causes;Other Human Causes;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Interseção de Vias;Sim;5;0;1;0;3;1;1;4;-25,862553;-49,362008;SPRF-PR;DEL01-PR;UOP03-DEL01-PR
335492.0;20/01/2021;quarta-feira;06:40:00;MG;354;745,5;POUSO ALTO;Desrespeitar a preferência no cruzamento;Other Human Causes;Other Human Causes;Colisão transversal;Com Vítimas Feridas;Amanhecer;Decrescente;Céu Claro;Simples;"Reta;Rotatória;Interseção de Vias";Sim;3;0;2;0;1;0;2;2;-22,25383057;-44,92996216;SPRF-MG;DEL17-MG;UOP01-DEL17-MG
424862.0;29/09/2021;quarta-feira;00:25:00;RN;101;98;NATAL;Estacionar ou parar em local proibido;Other Human Causes;Other Human Causes;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;4;0;2;0;1;1;2;3;-5,86567888;-35,21651625;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
655927.0;18/01/2025;sábado;18:30:00;MG;116;486,9;INHAPIM;Ingestão de álcool pelo condutor;Human Causes - Alcohol;Human Causes - Alcohol;Saída de leito carroçável;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;2;0;0;0;2;0;0;1;-19,49491325;-42,12836266;SPRF-MG;DEL06-MG;UOP02-DEL06-MG
592278.0;06/04/2024;sábado;20:50:00;MG;116;509,3;UBAPORANGA;Ingestão de álcool pelo condutor;Human Causes - Alcohol;Human Causes - Alcohol;Colisão traseira;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Sim;3;0;0;0;3;0;0;2;-1.963.654.904;-4.210.593.182;SPRF-MG;DEL06-MG;UOP02-DEL06-MG
693727.0;25/05/2025;domingo;19:30:00;BA;116;269;TUCANO;Ingestão de álcool pelo condutor;Human Causes - Alcohol;Human Causes - Alcohol;Colisão frontal;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;Reta;Não;3;0;0;1;1;1;1;2;-10,92883;-38,81963;SPRF-BA;DEL07-BA;UOP02-DEL07-BA
566601.0;09/12/2023;sábado;13:15:00;MT;163;100,2;RONDONOPOLIS;Ingestão de álcool pelo condutor;Human Causes - Alcohol;Human Causes - Alcohol;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Declive;Reta";Não;3;0;2;0;0;3;2;4;-16,66088715;-54,68146429;SPRF-MT;DEL02-MT;UOP03-DEL02-MT
408147.0;11/01/2022;terça-feira;20:40:00;RS;285;501;ENTRE-IJUIS;Ingestão de álcool pelo condutor;Human Causes - Alcohol;Human Causes - Alcohol;Colisão transversal;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Não;3;0;0;0;2;1;0;3;-28,383951;-54,307785;SPRF-RS;DEL10-RS;UOP01-DEL10-RS
503072.0;04/02/2023;sábado;15:10:00;SC;101;216;PALHOCA;Ingestão de álcool pelo condutor;Human Causes - Alcohol;Human Causes - Alcohol;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Não;3;0;2;0;1;0;2;2;-27,65981409;-48,67747798;SPRF-SC;DEL01-SC;UOP02-DEL01-SC
421528.0;19/03/2022;sábado;15:10:00;RS;158;332,1;SANTA MARIA;Mal súbito do condutor;Not Human Causes;Not Human Causes;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;1;0;0;1;0;0;1;1;-29,70316672;-53,84325569;SPRF-RS;DEL09-RS;UOP01-DEL09-RS
400874.0;10/12/2021;sexta-feira;13:25:00;MS;376;164;NOVA ANDRADINA;Manobra de mudança de faixa;Other Human Causes;Other Human Causes;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;5;0;4;1;0;0;5;2;-22,32412833;-53,44868191;SPRF-MS;DEL04-MS;UOP04-DEL04-MS
534229.0;07/07/2023;sexta-feira;12:50:00;SC;101;265;PAULO LOPES;Manobra de mudança de faixa;Other Human Causes;Other Human Causes;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;Reta;Sim;6;0;1;0;4;1;1;3;-28,06001385;-48,71690948;SPRF-SC;DEL02-SC;UOP03-DEL02-SC
359303.0;22/05/2021;sábado;15:40:00;BA;116;807,2;VITORIA DA CONQUISTA;Manobra de mudança de faixa;Other Human Causes;Other Human Causes;Colisão lateral sentido oposto;Com Vítimas Fatais;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;4;1;0;0;2;3;0;6;-14,73914195;-40,65690702;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
416027.0;07/01/2022;sexta-feira;12:00:00;BA;135;57;FORMOSA DO RIO PRETO;Manobra de mudança de faixa;Other Human Causes;Other Human Causes;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;9;0;1;2;6;0;3;2;-11,24099662;-45,03584263;SPRF-BA;DEL10-BA;UOP01-DEL10-BA
671988.0;06/04/2025;domingo;17:13:00;ES;101;144,1;LINHARES;Manobra de mudança de faixa;Other Human Causes;Other Human Causes;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Reta;Sim;1;0;1;0;0;0;1;1;-19,35184157;-40,06355524;SPRF-ES;DEL04-ES;UOP01-DEL04-ES
694308.0;28/05/2025;quarta-feira;16:24:00;MG;381;657,4;SANTO ANTONIO DO AMPARO;Manobra de mudança de faixa;Other Human Causes;Other Human Causes;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Reta;Aclive";Não;3;0;1;0;1;2;1;4;-20,996;-44,961924;SPRF-MG;DEL04-MG;UOP02-DEL04-MG
375299.0;06/08/2021;sexta-feira;17:50:00;SC;282;36,9;AGUAS MORNAS;Manobra de mudança de faixa;Other Human Causes;Other Human Causes;Colisão traseira;Com Vítimas Feridas;Anoitecer;Crescente;Nublado;Simples;Interseção de Vias;Não;2;0;1;0;1;0;1;2;-27,704855;-48,834026;SPRF-SC;DEL01-SC;UOP03-DEL01-SC
487751.0;18/11/2022;sexta-feira;18:30:00;RJ;101;313;SAO GONCALO;Manobra de mudança de faixa;Other Human Causes;Other Human Causes;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;1;0;1;2;-22,81049093;-43,06983304;SPRF-RJ;DEL02-RJ;UOP02-DEL02-RJ
519000.0;24/04/2023;segunda-feira;22:40:00;MG;381;434;SABARA;Pedestre andava na pista;Other Human Causes;Not Human Causes;Atropelamento de Pedestre;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Simples;"Reta;Aclive";Não;3;1;0;0;1;1;0;2;-19,80043184;-43,75031407;SPRF-MG;DEL01-MG;UOP01-DEL01-MG
411435.0;27/01/2022;quinta-feira;15:50:00;RS;290;114;ELDORADO DO SUL;Pista esburacada;Not Human Causes;Not Human Causes;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Reta;Não;1;0;1;0;0;0;1;1;-30,044607;-51,347553;SPRF-RS;DEL02-RS;UOP01-DEL02-RS
488292.0;21/11/2022;segunda-feira;11:15:00;MT;174;121;CACERES;Pista Escorregadia;Not Human Causes;Not Human Causes;Saída de leito carroçável;Com Vítimas Fatais;Pleno dia;Decrescente;Chuva;Simples;Declive;Não;2;1;0;1;0;0;1;1;-15,82868461;-58,05567703;SPRF-MT;DEL03-MT;UOP01-DEL03-MT
506791.0;23/02/2023;quinta-feira;04:30:00;GO;452;181;ITUMBIARA;Reação tardia ou ineficiente do condutor;Other Human Causes;Other Human Causes;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Interseção de Vias;Não;3;0;2;1;0;0;3;1;-18,38027813;-49,34810609;SPRF-GO;DEL03-GO;UOP02-DEL03-GO
382796.0;11/09/2021;sábado;08:00:00;TO;153;142,2;ARAGUAINA;Reação tardia ou ineficiente do condutor;Other Human Causes;Other Human Causes;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;1;0;1;0;0;0;1;1;-7,18228805;-48,22580095;SPRF-TO;DEL02-TO;UOP01-DEL02-TO
357125.0;21/02/2021;domingo;13:25:00;MG;40;687,1;RESSAQUINHA;Reação tardia ou ineficiente do condutor;Other Human Causes;Other Human Causes;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Curva;Não;2;0;0;2;0;0;2;1;-21,09998;-43,765694;SPRF-MG;DEL05-MG;UOP02-DEL05-MG
